#eta  dep  379415-380237  380005-380305  380306-380465  380466-380859  380860-380962  380963-381150  381151-381383  381384-381983  381984-382593  382594-382768  382769-382936  382937-383322  383323-383484  383485-383691  383692-383810
23    6    1.01441        1.01602        1.01769        1.01939        1.00397        1.0047         1.00607        1.00791        1.0099         1.01167        1.01338        1.01526        1.01721        1.01897        1.02057
24    1    0.953363       0.957608       0.962034       0.966512       0.899713       0.901522       0.904972       0.909644       0.914678       0.919166       0.923524       0.928349       0.933335       0.937862       0.942004
24    2    0.952744       0.956986       0.961409       0.965885       0.899366       0.901174       0.904623       0.909293       0.914325       0.918811       0.923168       0.927991       0.932975       0.937501       0.94164
24    3    1.00365        1.00525        1.00691        1.00857        0.987401       0.988113       0.98946        0.991291       0.993245       0.994981       0.99667        0.99852        1.00044        1.00217        1.00375
24    4    1.00374        1.00535        1.007          1.00867        0.987345       0.988056       0.989403       0.991234       0.993189       0.994925       0.996613       0.998463       1.00038        1.00212        1.00369
24    5    1.00368        1.00528        1.00694        1.0086         0.987298       0.988009       0.989356       0.991187       0.993141       0.994877       0.996566       0.998416       1.00033        1.00207        1.00364
24    6    1.00514        1.00674        1.0084         1.01007        0.988827       0.989539       0.990889       0.992722       0.994679       0.996418       0.998109       0.999962       1.00188        1.00362        1.0052
25    1    0.950075       0.955469       0.961099       0.966812       0.882069       0.88433        0.888651       0.894498       0.900811       0.906451       0.911937       0.918006       0.924304       0.930028       0.935261
25    2    0.95018        0.955574       0.961204       0.966918       0.881914       0.884174       0.888495       0.89434        0.900653       0.906291       0.911776       0.917844       0.924141       0.929864       0.935096
25    3    1.00208        1.00448        1.00698        1.0095         0.981796       0.982859       0.984884       0.987611       0.990551       0.993159       0.995692       0.998493       1.00138        1.00398        1.00636
25    4    1.00207        1.00446        1.00696        1.00948        0.981624       0.982687       0.984711       0.987438       0.990377       0.992984       0.995517       0.998318       1.0012         1.00381        1.00618
25    5    1.00211        1.00451        1.00701        1.00953        0.981751       0.982814       0.984839       0.987566       0.990506       0.993113       0.995646       0.998447       1.00133        1.00394        1.00631
25    6    1.00662        1.00903        1.01153        1.01407        0.986136       0.987204       0.989237       0.991977       0.99493        0.997548       1.00009        1.00291        1.0058         1.00842        1.01081
26    1    0.953704       0.961052       0.968735       0.976541       0.879209       0.882271       0.888108       0.896041       0.904626       0.912302       0.919802       0.928116       0.936752       0.944618       0.951833
26    2    0.953642       0.960989       0.968672       0.976478       0.879196       0.882258       0.888095       0.896028       0.904612       0.912296       0.919789       0.928102       0.936738       0.944604       0.951819
26    3    0.983041       0.985796       0.988654       0.991548       0.95043        0.951634       0.953926       0.957014       0.960341       0.963296       0.966172       0.96934        0.972614       0.975578       0.978277
26    4    0.983186       0.985942       0.9888         0.991695       0.950439       0.951642       0.953934       0.957022       0.960349       0.963305       0.966181       0.969348       0.972622       0.975587       0.978285
26    5    0.983123       0.985879       0.988736       0.991631       0.95043        0.951634       0.953926       0.957014       0.960341       0.963296       0.966172       0.96934        0.972614       0.975578       0.978277
26    6    0.990137       0.992912       0.99579        0.998705       0.957215       0.958427       0.960735       0.963845       0.967196       0.970173       0.973069       0.976259       0.979557       0.982542       0.98526
26    7    0.990017       0.992792       0.99567        0.998584       0.957172       0.958384       0.960692       0.963802       0.967153       0.970129       0.973025       0.976216       0.979513       0.982498       0.985216
27    1    0.930141       0.937412       0.945021       0.952741       0.839919       0.842887       0.848547       0.856247       0.864571       0.872022       0.879301       0.887368       0.895761       0.903399       0.910415
27    2    0.929973       0.937242       0.94485        0.952569       0.839838       0.842805       0.848465       0.856164       0.864487       0.871938       0.879216       0.887282       0.895674       0.903312       0.910327
27    3    0.976509       0.980034       0.983704       0.987418       0.933424       0.93495        0.937849       0.941771       0.945991       0.949751       0.9534         0.957432       0.961601       0.965378       0.968822
27    4    0.976377       0.979901       0.98357        0.987285       0.933313       0.934839       0.937737       0.941658       0.945878       0.949629       0.953286       0.957318       0.961486       0.965263       0.968707
27    5    0.976447       0.979972       0.983641       0.987356       0.933456       0.934982       0.937881       0.941803       0.946023       0.949774       0.953432       0.957465       0.961634       0.965411       0.968855
27    6    0.986549       0.990111       0.993818       0.997571       0.942991       0.944533       0.947461       0.951423       0.955687       0.959485       0.963171       0.967245       0.971457       0.975272       0.978752
27    7    0.986567       0.990129       0.993836       0.997589       0.943162       0.944704       0.947633       0.951595       0.95586        0.95965        0.963346       0.96742        0.971633       0.975449       0.978929
28    1    0.819334       0.827521       0.8361         0.844838       0.648672       0.651598       0.657197       0.664824       0.673095       0.680519       0.687792       0.695875       0.704303       0.711996       0.719076
28    2    0.819471       0.827659       0.836239       0.844978       0.648774       0.651701       0.6573         0.664929       0.673201       0.680626       0.6879         0.695984       0.704414       0.712108       0.719189
28    3    1.0002         1.00817        1.01649        1.02494        0.95382        0.957245       0.963791       0.972681       0.982291       0.990894       0.999296       1.00861        1.01829        1.02711        1.0352
28    4    1.00013        1.0081         1.01642        1.02487        0.953683       0.957107       0.963652       0.972541       0.98215        0.990751       0.999152       1.00846        1.01815        1.02696        1.03505
28    5    1.00017        1.00814        1.01646        1.02492        0.953751       0.957176       0.963721       0.972611       0.982221       0.990822       0.999224       1.00854        1.01822        1.02704        1.03513
28    6    1.01512        1.0232         1.03165        1.04023        0.968011       0.971487       0.97813        0.987152       0.996906       1.00564        1.01416        1.02362        1.03344        1.04239        1.0506
28    7    1.01516        1.02325        1.03169        1.04028        0.968035       0.97151        0.978154       0.987176       0.99693        1.00566        1.01419        1.02364        1.03347        1.04242        1.05063
29    1    0.977825       0.98957        1.00191        1.0145         0.87006        0.874777       0.883797       0.896108       0.909485       0.921517       0.933315       0.946459       0.960189       0.972746       0.984311
29    2    0.977825       0.989578       1.00191        1.0145         0.870054       0.874771       0.883791       0.896102       0.909479       0.92151        0.933308       0.946452       0.960182       0.97274        0.984305
29    3    1.01105        1.0232         1.03595        1.04897        0.899631       0.904508       0.913834       0.926564       0.940396       0.952836       0.965035       0.978626       0.992822       1.00581        1.01776
