#eta  dep  383811-384051  384052-384237  384238-384444  384445-384949  384950-385152  385153-385382  385383-385531  385532-385835  385836-385985  385986-386477  386478-386628  386629-386851  386852-388487
18    1    1.0081         1.01058        1.01323        1.01607        1.01888        1.0217         1.02447        1.02724        1.02947        1.03123        1.03327        1.0355         1.03769
18    2    1.00824        1.01072        1.01337        1.01621        1.01902        1.02184        1.02461        1.02738        1.02961        1.03136        1.03342        1.03564        1.03784
18    3    1.02908        1.03008        1.03117        1.03231        1.03345        1.03459        1.0357         1.03682        1.03771        1.03842        1.03924        1.04013        1.041
18    4    1.02899        1.02999        1.03107        1.03222        1.03336        1.03449        1.03561        1.03673        1.03762        1.03832        1.03914        1.04004        1.04091
18    5    1.02894        1.02995        1.03103        1.03217        1.03331        1.03445        1.03556        1.03668        1.03757        1.03827        1.0391         1.03999        1.04086
19    1    1.01896        1.02146        1.02413        1.02699        1.02983        1.03268        1.03546        1.03826        1.04051        1.04228        1.04434        1.0466         1.04881
19    2    1.01847        1.02096        1.02363        1.0265         1.02933        1.03218        1.03496        1.03776        1.04001        1.04178        1.04384        1.04609        1.0483
19    3    1.03511        1.03662        1.03824        1.03998        1.0417         1.04342        1.0451         1.04679        1.04814        1.04921        1.05045        1.0518         1.05314
19    4    1.03501        1.03652        1.03814        1.03988        1.0416         1.04332        1.045          1.04669        1.04804        1.0491         1.05035        1.0517         1.05303
19    5    1.03514        1.03665        1.03827        1.04001        1.04173        1.04345        1.04513        1.04682        1.04818        1.04924        1.05048        1.05184        1.05317
19    6    1.03254        1.03405        1.03567        1.0374         1.03912        1.04083        1.04251        1.0442         1.04555        1.04661        1.04785        1.0492         1.05052
20    1    1.00702        1.00999        1.01318        1.01659        1.01997        1.02336        1.02669        1.03004        1.03272        1.03483        1.0373         1.03999        1.04264
20    2    1.00666        1.00963        1.01282        1.01622        1.01961        1.023          1.02632        1.02967        1.03235        1.03446        1.03693        1.03962        1.04226
20    3    1.03213        1.03364        1.03526        1.03698        1.0387         1.04041        1.0421         1.04377        1.04512        1.04619        1.04743        1.04878        1.0501
20    4    1.03218        1.03369        1.03531        1.03703        1.03875        1.04046        1.04215        1.04382        1.04517        1.04624        1.04748        1.04883        1.05015
20    5    1.03227        1.03377        1.03539        1.03711        1.03883        1.04055        1.04223        1.04391        1.04526        1.04633        1.04757        1.04891        1.05023
20    6    1.03066        1.03217        1.03378        1.0355         1.03722        1.03893        1.04061        1.04228        1.04363        1.0447         1.04594        1.04728        1.0486
21    1    0.98038        0.983777       0.987411       0.991311       0.995174       0.999056       1.00288        1.0067         1.00978        1.01221        1.01503        1.01813        1.02117
21    2    0.980579       0.983976       0.987612       0.991512       0.995376       0.999259       1.00308        1.00691        1.00999        1.01241        1.01524        1.01834        1.02138
21    3    1.03023        1.03173        1.03334        1.03506        1.03677        1.03848        1.04017        1.04184        1.04319        1.04425        1.04549        1.04683        1.04815
21    4    1.03009        1.0316         1.03321        1.03493        1.03664        1.03835        1.04003        1.0417         1.04306        1.04412        1.04535        1.0467         1.04801
21    5    1.03033        1.03183        1.03344        1.03516        1.03688        1.03859        1.04027        1.04194        1.0433         1.04435        1.04559        1.04694        1.04825
21    6    1.02805        1.02955        1.03116        1.03288        1.03458        1.03629        1.03797        1.03964        1.04099        1.04204        1.04328        1.04462        1.04593
22    1    0.96434        0.968161       0.972272       0.976667       0.981035       0.98543        0.989738       0.994072       0.997559       1.00031        1.00351        1.00702        1.01047
22    2    0.964555       0.968377       0.972489       0.976884       0.981254       0.985649       0.989959       0.994294       0.997781       1.00053        1.00374        1.00724        1.01069
